year,unemployment,fips
2019,3.1,18147
2019,4.3,18149
2019,2.7,18151
2019,4.3,18153
2019,3.3,18155
2019,2.9,18157
2019,2.7,18159
2019,3.3,18161
2019,3.1,18163
2019,5.2,18165
2019,4.3,18167
2019,3.1,18169
2019,3,18171
2019,2.9,18173
2019,3.3,18175
2019,3.6,18177
2019,2.7,18179
2019,2.7,18181
2019,2.9,18183
2019,2.4,19001
2019,1.7,19003
2019,3.5,19005
2019,3.6,19007
2019,2.5,19009
2019,3,19011
2019,3.2,19013
2019,2.4,19015
2019,2.3,19017
2019,2.8,19019
2019,2.1,19021
2019,3.2,19023
2019,2.6,19025
2019,1.9,19027
2019,2.8,19029
2019,2.5,19031
2019,2.7,19033
2019,2.5,19035
2019,2.9,19037
2019,2.9,19039
2019,2.8,19041
2019,3.7,19043
2019,3.7,19045
2019,3.6,19047
2019,2,19049
2019,2.9,19051
2019,2.2,19053
2019,2.4,19055
2019,4,19057
2019,2.9,19059
2019,2.6,19061
2019,2.6,19063
2019,3.6,19065
2019,3.6,19067
2019,2.3,19069
2019,2.8,19071
2019,2.4,19073
2019,2.8,19075
2019,3,19077
2019,2.9,19079
2019,2.4,19081
2019,3.2,19083
2019,2.4,19085
2019,2.7,19087
2019,2.8,19089
2019,2.7,19091
2019,2,19093
2019,2.2,19095
2019,3.2,19097
2019,2.9,19099
2019,2.4,19101
2019,2,19103
2019,3.2,19105
2019,3.3,19107
2019,2.2,19109
2019,3.9,19111
2019,2.9,19113
2019,3.1,19115
2019,2.1,19117
2019,1.6,19119
2019,3.6,19121
2019,2.5,19123
2019,2.1,19125
2019,4.5,19127
2019,2.3,19129
2019,1.7,19131
2019,3,19133
2019,3.1,19135
2019,2.7,19137
2019,2.9,19139
2019,2.2,19141
2019,1.9,19143
2019,2.6,19145
2019,2.2,19147
2019,2.2,19149
2019,1.9,19151
2019,2.8,19153
2019,2.4,19155
2019,2.7,19157
2019,2.9,19159
2019,2.4,19161
2019,3.3,19163
2019,2.1,19165
2019,1.9,19167
2019,1.9,19169
2019,3.1,19171
2019,1.9,19173
2019,3.2,19175
2019,2.7,19177
2019,3.7,19179
2019,2.5,19181
2019,2.5,19183
2019,2.6,19185
2019,3.1,19187
2019,2.8,19189
2019,2.9,19191
2019,2.7,19193
2019,2.8,19195
2019,2.6,19197
2019,3.5,20001
2019,3.3,20003
2019,5.2,20005
2019,2.5,20007
2019,3.1,20009
2019,4.2,20011
2019,3.2,20013
2019,3.2,20015
2019,2.8,20017
2019,3.9,20019
2019,3.4,20021
2019,2.4,20023
2019,2.3,20025
2019,3.2,20027
2019,3.2,20029
2019,4.5,20031
2019,2.6,20033
2019,3.4,20035
2019,3.9,20037
2019,3,20039
2019,3.6,20041
2019,3.4,20043
2019,2.9,20045
2019,2.6,20047
2019,3.7,20049
2019,2.3,20051
2019,2.8,20053
2019,2.3,20055
2019,2.5,20057
2019,3.3,20059
2019,4.4,20061
2019,2.1,20063
2019,3.1,20065
2019,2.9,20067
2019,2,20069
2019,2.3,20071
2019,3.2,20073
2019,1.9,20075
2019,2.5,20077
2019,2.9,20079
2019,2.3,20081
2019,2.4,20083
2019,2.9,20085
2019,3.1,20087
2019,2.8,20089
2019,2.8,20091
2019,2.3,20093
2019,3.2,20095
2019,2.3,20097
2019,4,20099
2019,2.6,20101
2019,3.4,20103
2019,2.3,20105
2019,5.9,20107
2019,2,20109
2019,3.4,20111
2019,2.2,20113
2019,3,20115
2019,2.9,20117
2019,2.3,20119
2019,3.3,20121
2019,2.4,20123
2019,4.1,20125
2019,2.7,20127
2019,2.9,20129
2019,2.8,20131
2019,4.6,20133
2019,2.5,20135
2019,2.2,20137
2019,3.6,20139
2019,2,20141
2019,2.7,20143
2019,2.9,20145
2019,2.6,20147
2019,2.8,20149
2019,2.5,20151
2019,2.2,20153
2019,3.2,20155
2019,2.6,20157
2019,2.8,20159
2019,2.8,20161
2019,3.5,20163
2019,2.8,20165
2019,2.9,20167
2019,3,20169
2019,1.9,20171
2019,3.5,20173
2019,3.1,20175
2019,3.3,20177
2019,2.2,20179
2019,2.7,20181
2019,2.5,20183
2019,2.7,20185
2019,2.5,20187
2019,2.6,20189
2019,3.4,20191
2019,2.3,20193
2019,2.8,20195
2019,3.2,20197
2019,2.6,20199
2019,2.6,20201
2019,2,20203
2019,4,20205
2019,4.2,20207
2019,4.3,20209
2019,5.3,21001
2019,4.2,21003
2019,3.7,21005
2019,5.7,21007
2019,4.5,21009
2019,6.2,21011
2019,6.4,21013
2019,3.4,21015
2019,3.8,21017
2019,5.7,21019
2019,4.7,21021
2019,4.9,21023
2019,7.5,21025
2019,5.3,21027
2019,4.1,21029
2019,4.8,21031
2019,5,21033
2019,4.1,21035
2019,3.5,21037
2019,4.2,21039
2019,4,21041
2019,8.3,21043
2019,4.2,21045
2019,5.6,21047
2019,3.9,21049
2019,7,21051
2019,5.5,21053
2019,4.9,21055
2019,4.2,21057
2019,3.9,21059
2019,4.9,21061
2019,8.2,21063
2019,5,21065
2019,3.3,21067
2019,5.4,21069
2019,6.4,21071
2019,3.7,21073
2019,5.7,21075
2019,4,21077
2019,4.6,21079
2019,4.1,21081
2019,4.6,21083
2019,5,21085
2019,4.4,21087
2019,6.6,21089
2019,3.8,21091
2019,4.1,21093
2019,9.6,21095
2019,4.3,21097
2019,4.7,21099
