key,value
21035,1019
21037,1322
21039,104
21041,228
21043,365
21045,319
21047,1936
21049,543
21051,588
21053,244
21055,171
21057,150
21059,2024
21061,187
21063,335
21065,291
21067,10766
21069,192
21071,419
21073,886
21075,235
21077,128
21079,350
21081,276
21083,902
21085,522
21087,340
21089,646
21091,155
21093,2149
21095,610
21097,276
21099,448
21101,1343
21103,293
21105,124
21107,1070
21109,479
21111,22875
21113,1006
21115,330
21117,2796
21119,357
21121,886
21123,288
21125,1473
21127,157
21129,179
21131,133
21133,309
21135,300
21137,344
21139,129
21141,798
21143,113
21151,2391
21153,180
21155,501
21157,506
21159,211
21161,179
21145,1187
21147,264
21149,216
21163,398
21165,89
21167,372
21169,206
21171,312
21173,525
21175,141
21177,979
21179,1001
21181,119
21183,614
21185,1456
80021,0
21187,124
21189,98
21191,132
21193,546
21195,963
21197,147
21199,1000
21201,35
21203,365
21205,370
21207,398
21209,1171
21211,1510
21213,361
21215,319
21217,522
21219,298
21221,251
21223,90
90021,0
21225,519
21227,5300
21229,248
21231,291
21233,328
21235,839
21237,67
21239,388
22001,3158
22003,1848
22005,4186
22007,797
22009,1754
22011,1071
22013,619
22015,4322
22017,10206
22019,8441
22021,362
22023,246
22025,463
22027,601
22029,611
22031,1030
22033,16172
22035,585
22037,1802
22039,1413
22041,1339
22043,538
22045,3081
22047,1483
22049,861
22051,18757
22053,1352
22059,503
22055,9493
22057,3909
22061,1679
22063,4227
22065,894
22067,892
22069,1495
22071,13514
22073,7061
80022,0
22075,894
22077,1140
22079,4731
22081,442
22083,895
22085,1004
22087,1554
22089,1954
22091,439
22093,845
22095,1654
22097,3679
22099,2230
22101,2027
22103,7765
22105,5037
22107,186
22109,3870
90022,319
22111,1123
22113,2129
22115,1125
22117,1751
22119,1491
22121,963
22123,377
22125,753
22127,695
23001,862
23003,67
23005,2545
23007,79
23009,71
23011,341
23013,82
23015,61
80023,0
23017,164
23019,303
23021,10
23023,84
23025,172
90023,0
23027,154
23029,60
23031,1411
24001,693
24003,12040
24005,20670
24510,17774
24009,1188
24011,750
24013,2258
24015,1354
24017,3187
24019,797
24021,4786
24023,147
24025,3612
24027,5894
24029,343
24031,25692
80024,0
24033,32800
24035,784
24039,427
24037,1497
24041,651
90024,0
24043,2304
24045,2519
24047,1220
25001,2004
25003,781
25005,12338
25007,148
25009,23861
25011,478
25013,10016
25015,1484
25017,32015
25019,96
25021,11814
80025,0
25023,11423
25025,28400
90025,4126
25027,16580
26001,54
26003,117
26005,1368
26007,175
26009,140
26011,110
26013,105
26015,752
26017,1480
26019,137
26021,2844
26023,924
26025,3087
26027,1054
26029,202
26031,172
26033,174
26035,301
26037,1205
26039,156
26041,1300
26043,687
26045,1228
26047,294
,197
26049,7048
26051,228
26053,423
26055,849
26057,562
26059,546
26061,968
26063,286
26065,4777
26067,795
26069,303
26071,452
26073,1103
26075,1926
26077,5012
26079,135
26081,15104
26083,22
26085,65
26087,958
26089,158
26091,1182
26093,2205
26095,84
26097,166
26099,19127
26101,148
26103,1161
26105,257
26107,558
26109,743
,6883
26111,1119
26113,92
26115,2106
26117,717
26119,34
26121,2344
26123,663
26125,25903
26127,650
26129,125
26131,110
26133,192
26135,57
26137,273
26139,5418
80026,322
26141,74
26143,208
26145,4057
26151,218
26153,88
26155,758
26147,1658
26149,1302
26157,698
90026,21
26159,1157
26161,5652
26163,41345
26165,185
27001,198
27003,9344
27005,621
27007,961
27009,1033
27011,159
27013,2114
27015,348
27017,509
27019,1888
27021,422
27023,473
27025,1156
27027,2529
27029,138
27031,19
27033,295
27035,1143
27037,10271
27039,413
27041,774
27043,252
27045,277
27047,718
27049,651
27051,105
27053,35484
27055,238
27057,434
27059,599
27061,788
27063,221
27065,237
27067,1821
27069,53
27071,175
27073,145
27075,133
27077,44
27079,664
27081,193
27083,1030
27087,129
27089,151
27091,626
27085,621
27093,359
27095,449
27097,825
27099,1545
27101,297
27103,771
27105,2343
27107,134
27109,3402
27111,950
80027,0
27113,218
27115,577
27117,366
27119,836
27121,168
27123,14726
27125,82
27127,299
27129,272
27131,1702
27133,359
27135,330
27139,3604
27141,1831
27143,266
27137,3258
27145,6255
27147,801
27149,194
27151,225
27153,896
27155,59
90027,238
27157,414
27159,264
27161,945
27163,6362
27165,582
27167,145
27169,1336
27171,2731
27173,298
28001,1102
28003,1050
28005,434
28007,809
28009,369
28011,2052
28013,636
28015,509
28017,870
28019,209
28021,542
28023,783
28025,715
28027,1265
28029,1399
28031,997
28033,7342
28035,3134
28037,253
28039,1030
28041,482
28043,1231
28045,881
28047,5537
28049,8109
28051,1151
28053,458
28055,107
28057,1178
28059,4884
28061,698
28063,281
28065,424
28067,2984
28069,334
28071,2560
28073,2340
28075,2611
28077,553
28079,1170
28081,3686
28083,1730
28085,1448
28087,1828
28089,3880
28091,969
28093,1505
28095,1548
28097,565
28099,1883
28101,881
28103,603
28105,2060
80028,0
28107,1722
28109,1179
28111,528
28113,1409
28115,1515
28117,1095
28119,424
28121,4123
28123,1281
28125,291
28127,1240
28129,608
28131,498
28133,1659
28135,858
28137,1230
28139,951
28141,831
28143,539
90028,0
28145,1260
28147,648
28149,1566
28151,2644
28153,1034
28155,382
28157,343
28159,859
28161,566
28163,1245
29001,531
29003,450
29005,77
29007,588
29009,844
29011,436
29013,253
29015,484
29017,511
29019,6091
29021,2985
29023,1251
29025,174
29027,1256
29029,1611
29031,2696
29033,199
29035,179
29037,2092
29039,238
29041,61
29043,2316
29045,113
29047,7826
29049,509
29051,3006
29053,626
29055,646
29057,142
29059,364
29061,222
29063,302
29065,257
29067,288
29069,1147
29071,2723
29073,265
29075,184
29077,9098
29079,264
29081,190
29083,386
29085,211
29087,120
29089,249
29091,1188
29093,102
29095,17837
29097,5329
29099,5644
29101,2170
,14583
29103,64
29105,1213
29107,854
29109,1126
29111,204
29113,1224
29115,164
29117,562
29121,223
29123,508
29125,192
29127,938
29119,1223
29129,31
29131,886
29133,447
29135,634
29137,169
29139,163
29141,682
29143,782
29145,2045
29147,1183
29149,233
29151,494
80029,0
29153,214
29155,736
29157,814
29159,1630
29161,852
29163,354
29165,1977
29167,973
29169,1020
29171,57
29173,210
29175,627
29177,281
29179,83
29181,273
29195,955
29197,42
29199,73
29201,1434
29203,243
29205,110
29183,10949
29185,123
29187,2887
29189,30852
29510,8538
29186,405
29207,893
29209,712
29211,319
29213,1752
29215,594
90029,0
29217,343
29219,636
29221,673
29223,309
29225,1164
29227,34
29229,591
30001,280
30003,1376
30005,326
30007,80
30009,245
30011,69
30013,2027
30015,105
30017,319
30019,41
30021,247
30023,444
30025,67
30027,228
30029,3291
30031,3137
30033,24
30035,964
30037,16
30039,67
30041,823
30043,174
30045,15
30047,579
30049,1011
30051,31
30053,313
30057,177
30055,61
30059,79
30061,15
30063,2229
30065,111
80030,0
30067,260
30069,3
30071,177
30073,184
30075,62
30077,137
30079,33
30081,503
30083,338
30085,936
30087,772
30089,97
30091,73
30093,582
30095,218
30097,87
30099,90
30101,314
30103,24
90030,0
30105,358
30107,69
30109,44
30111,6521
31001,896
31003,171
31005,4
31007,4
31009,2
31011,157
31013,258
31015,76
31017,80
31019,1907
31021,138
31023,286
31025,560
31027,151
31029,155
31031,76
31033,114
31035,180
31037,944
31039,306
31041,232
31043,2561
31045,248
31047,1307
31049,10
31051,169
31053,1664
31055,22806
31057,28
31059,111
31061,92
31063,40
31065,101
31067,563
31069,24
31071,33
31073,60
31075,4
31077,48
31079,2697
31081,242
31083,60
31085,23
31087,47
31089,303
31091,22
31093,155
31095,93
31097,112
31099,255
31101,113
31103,9
31105,59
31107,275
31109,9181
31111,938
31113,10
31115,8
31119,1399
31117,10
31121,148
31123,123
31125,104
31127,168
31129,105
31131,316
80031,0
31133,31
31135,46
31137,309
31139,221
31141,1677
31143,201
31145,248
31147,104
31149,59
31151,961
31153,5981
31155,696
31157,890
31159,386
31161,134
31163,50
31165,12
31167,80
31169,66
31171,12
31173,345
90031,495
31175,94
31177,509
31179,359
31181,118
31183,3
31185,522
32510,768
32001,223
32003,80794
32005,417
32007,1436
32009,0
32011,11
32013,176
32015,110
32017,49
32019,613
32021,18
32023,682
80032,0
32027,24
32029,22
90032,0
32031,13090
32033,119
33001,234
33003,152
33005,195
33007,64
33009,230
33011,5505
33013,916
80033,0
33015,2638
33017,732
33019,84
90033,18
34001,5162
34003,25027
34005,8486
34007,11617
34009,1123
34011,4016
34013,24709
34015,5559
34017,23132
34019,1586
34021,9297
34023,22274
34025,14111
34027,9145
34029,16715
80034,0
34031,20898
34033,1171
34035,6485
34037,1720
90034,524
34039,20195
34041,1595
35001,11116
35003,10
35005,2066
35006,607
35007,45
35009,1596
35011,2
35013,6325
35015,1505
35017,191
35019,43
35021,1
35023,122
35025,2177
35027,384
35028,48
35029,1082
35031,4674
35033,15
35035,527
80035,0
35037,104
35039,513
35041,469
35045,3805
35047,182
35043,2040
35049,1791
35051,116
35053,248
35055,245
35057,100
90035,1712
35059,41
35061,1002
36001,3660
36003,314
36005,55527
36007,3620
36009,517
36011,405
36013,955
36015,1777
36017,408
36019,248
36021,721
36023,553
36025,178
36027,5508
36029,13161
36031,199
36033,80
36035,363
36037,396
36039,507
36041,17
36043,394
36045,211
36047,75517
36049,134
36051,313
36053,570
36055,7386
36057,270
36059,49841
36061,36224
36063,2088
36065,2769
36067,5498
36069,679
36071,13672
36073,412
36075,631
36077,404
80036,0
36079,1825
36081,76980
36083,1110
36085,17359
36087,18024
36091,1365
36093,1579
36095,112
36097,135
36099,147
36089,405
36101,1025
36103,49198
36105,1786
36107,653
36109,632
36111,2531
90036,0
36113,461
36115,338
36117,512
36119,40554
36121,192
36123,126
37001,5254
37003,882
37005,304
37007,727
37009,442
37011,622
37013,1388
37015,729
37017,1090
37019,2201
37021,4178
37023,2696
37025,4931
37027,2548
37029,137
37031,1149
37033,624
37035,4507
37037,1947
37039,776
37041,532
37043,234
37045,3204
37047,1714
37049,2369
37051,7129
37053,224
37055,373
37057,3765
37059,771
37061,2812
37063,9101
37065,2020
37067,8937
37069,1474
37071,7479
37073,168
37075,247
37077,2018
37079,962
37081,11581
37083,1434
37085,2969
37087,726
37089,2523
37091,854
37093,1554
37095,175
37097,3870
37099,1072
37101,5709
37103,201
37105,2116
37107,1470
37109,2426
37113,764
37115,247
37117,647
37111,1340
37119,33988
37121,239
37123,1195
37125,2281
37127,3423
37129,5305
37131,566
37133,3394
37135,3109
80037,0
37137,323
37139,881
37141,1407
37143,251
37145,677
37147,6196
37149,402
37151,3831
37153,1439
37155,6071
37157,2003
37159,4144
37161,1763
37163,2802
37165,1652
37167,2446
37169,692
37171,1885
37173,288
37175,424
37177,132
90037,1
37179,5940
37181,1214
37183,21344
37185,469
37187,253
37189,1400
37191,4642
37193,1775
37195,3056
37197,1047
37199,328
38001,85
38003,386
38005,517
38007,33
38009,296
38011,135
38013,79
38015,6985
38017,9333
38019,79
38021,292
38023,62
38025,208
38027,202
38029,285
38031,193
38033,115
38035,4118
38037,76
38039,92
38041,133
38043,102
38045,207
38047,128
38049,202
38051,170
38053,555
38055,610
38057,502
38059,2353
38061,533
38063,165
38065,84
80038,0
38067,221
38069,107
38071,539
38073,210
38075,112
38077,499
38079,407
38081,132
38083,55
38085,258
38087,15
38089,2350
38091,56
38093,946
38095,107
38097,290
90038,0
38099,529
38101,2979
38103,155
38105,1848
00069,92
39001,254
39003,2452
39005,473
39007,806
39009,1346
39011,1198
39013,837
39015,458
39017,9082
39019,242
39021,452
39023,2766
39025,2772
39027,539
39029,2227
39031,386
39033,581
39035,21002
39037,1264
39039,549
39041,3107
39043,1240
39045,2925
39047,485
39049,33397
39051,611
39053,321
39055,943
39057,2654
39059,420
39061,18112
39063,1217
39065,392
39067,90
39069,553
39071,542
39073,230
39075,838
39077,752
39079,519
39081,518
39083,463
39085,2221
39087,1039
39089,2905
39091,491
39093,2998
39095,8789
39097,1103
39099,3960
39101,3529
39103,2086
39105,228
39107,1679
39109,2239
39111,190
39113,11494
39115,97
39117,434
39119,1019
39121,185
39123,634
80039,0
39125,267
39127,399
39129,3163
39131,358
39133,1828
39135,721
39137,1238
39139,1549
39141,1577
39143,781
39145,994
39147,671
39149,1018
39151,4267
39153,7316
39155,2451
39157,1476
90039,0
39159,827
39161,324
39163,122
39165,4711
39167,412
39169,1722
39171,407
39173,2687
39175,316
40001,819
40003,124
40005,457
40007,92
40009,915
40011,216
40013,1584
40015,1156
40017,4070
40019,894
40021,1398
40023,457
40025,39
40027,8485
40029,102
40031,2468
40033,103
40035,632
40037,1609
40039,1109
40041,1267
40043,94
40045,24
40047,2475
40049,699
40051,1641
40053,109
40055,152
40057,75
40059,72
40061,391
40063,406
40065,1141
40067,81
40069,302
40071,899
40073,570
40075,181
40077,213
40079,1689
40081,803
40083,870
40085,283
40093,182
40095,280
40097,986
40087,1359
40089,1634
40091,514
40099,315
40101,2380
40103,183
40105,258
40107,553
40109,24250
40111,1256
40113,1390
40115,1263
80040,0
40117,339
40119,2817
40121,1277
40123,833
40125,2264
40127,281
40129,90
40131,2480
40133,817
40135,1262
40137,765
40139,1816
40141,151
40143,22096
90040,3
40145,1951
40147,1342
40149,187
40151,184
40153,1269
41001,140
41003,463
41005,3267
41007,248
41009,271
41011,260
41013,113
41015,58
41017,1185
41019,368
41021,11
41023,12
41025,35
41027,284
41029,1796
41031,607
41033,270
41035,422
41037,43
41039,2467
41041,518
41043,845
41045,1949
41047,6024
41049,551
41051,9502
80041,0
41053,668
41055,20
41057,74
41059,3435
90041,0
41061,484
41063,49
41065,349
41067,5991
41069,1
41071,1013
42001,1144
42003,15449
42005,724
42007,2283
42009,404
42011,9388
42013,1268
42015,775
42017,10254
42019,1746
42021,1123
42023,9
42025,597
42027,4184
42029,8163
42031,226
42033,480
42035,273
42037,1061
42039,532
42041,2500
42043,4852
42045,13618
42047,167
42049,2128
42051,1035
42053,19
42055,2219
42057,83
42059,244
42061,993
42063,1138
42065,197
42067,241
42069,3780
42071,9647
42073,903
42075,3057
42077,6643
42079,5412
42081,979
42083,148
42085,1073
42087,411
42089,2029
42091,14008
42093,300
42095,5439
42097,1549
80042,0
42099,363
42101,44139
42103,624
42105,55
42107,2072
42109,491
42111,434
42113,19
42115,408
42117,215
90042,0
42119,705
42121,268
42123,66
42125,2024
42127,289
42129,4334
42131,141
42133,6545
72001,191
72003,443
72005,590
72007,379
72009,216
72011,287
72013,1099
72015,202
72017,320
72019,624
72021,4934
72023,522
72025,2219
72027,380
72029,942
72031,4068
72033,605
72035,510
72037,198
72039,344
72041,438
72043,415
72045,292
72047,886
72049,23
72051,1117
72053,735
72054,394
72055,161
72057,384
72059,256
72061,2311
72063,774
72065,440
72067,221
72069,798
72071,380
72073,288
72075,457
72077,594
72079,219
72081,449
72083,128
72085,693
72087,379
72089,330
72091,749
72093,95
72095,176
72097,1009
72099,457
72101,613
72103,386
72105,829
72107,434
72888,804
72109,202
72111,155
72113,1252
72115,273
72117,241
72119,862
72121,240
72123,546
72125,319
72127,10415
72129,731
72131,747
72133,250
72135,1725
72137,1976
72139,1572
72999,1248
72141,259
72143,977
72145,1225
72147,104
72149,240
72151,484
72153,568
44001,558
44003,2566
44005,678
80044,0
44007,23320
90044,3855
44009,1335
45001,779
45003,5051
45005,425
45007,5840
45009,695
45011,875
45013,6163
45015,6170
45017,515
45019,17259
45021,1531
45023,1245
45025,1491
45027,1177
45029,1270
45031,2517
45033,1310
45035,4848
45037,924
45039,868
45041,5639
45043,2358
45045,17739
45047,2563
45049,765
45051,12510
45053,929
45055,2484
45057,2599
45059,1937
45061,791
45063,9017
45067,1163
45069,1142
45065,277
45071,1641
45073,2484
45075,3363
80045,0
45077,4509
45079,17333
45081,727
45083,9103
45085,3575
90045,0
45087,759
45089,1454
45091,6777
46003,180
46005,1290
46007,187
46009,950
46011,1466
46013,2033
46015,292
46017,254
46019,368
46021,75
46023,398
46025,118
46027,829
46029,1502
46031,206
46033,316
46035,957
46037,160
46039,189
46041,330
46043,165
46045,144
46047,210
46049,218
46051,305
46053,233
46055,98
46057,199
46059,131
46061,96
46063,56
46065,854
46067,239
46069,44
46071,126
46073,162
46075,32
46077,191
46079,389
46081,925
46083,2830
46085,277
46091,65
46087,250
46089,72
46093,962
46095,83
46097,142
46099,11495
46101,219
46102,953
80046,0
46103,4466
46105,80
46107,107
46109,348
46111,102
46115,278
46117,92
46119,41
46121,469
46123,271
46125,483
90046,0
46127,758
46129,271
46135,876
46137,93
47001,1813
47003,1789
47005,434
47007,1034
47009,3515
47011,3703
